"id","length_B"
"4010",154222.898564291
"4004",532990.050619006
"4007",461921.586265588
"2002",659867.899864657
"5003",821972.456419384
"8013",368719.19791309
"6006",53886.5355702231
"7002",1286630.5905547
"7005",240342.762752096
"13012",286598.171683745
"13009",196658.41216218
"9004",318759.980924415
"13002",244325.538464604
"11006",173088.501514637
"15003",6600970.3241602
"17004",269383.384683049
"17005",401204.473393966
"15025",839495.912710621
"15027",36526.8113799662
"15038",603713.079765139
"21005",692143.502615874
"21001",67529.3598083981
"21024",280379.330451175
"54027",150050.93751843
"54028",1671530.39766598
"67001",933514.683518463
"57005",1242326.00250496
"39003",12216.4219145589
"39004",3212.5433699904
"40015",16456.464135536
"43028",1149.00165548438
"37034",81395.2844219275
"39146",1435.51766692787
"39042",18039.5517515524
"39111",5113664.39255009
"38001",779831.488622526
"47022",26036.4975327704
"38011",7242.1406956955
"43022",176872.518163951
"43019",19553.2014804011
"39057",15206.2757470092
"28014",481410.541158462
"28022",7676123.23592392
"28023",53108.7430260531
"28033",19643.3029465679
"39056",34527.47222881
"40029",40794.2344042046
"28113",20384.1463219039
"30005",65132.6945898873
"32010",1252539.16518385
"45008",212275.787984082
"32008",73074.475994889
"33068",285.806976724957
"38032",1061749.25316943
"39035",67036.5295166655
"39077",12425.2080189176
"39088",3968.74566829154
"39038",325265.114594357
"39052",43479.7768861096
"54036",92179.8458653692
"40011",258456.398187796
"40012",58425.0730575688
"38022",16175.3134455255
"58009",153100.266229323
"59002",110288.611464986
"53022",1409847.67696217
"38033",7631.36168668847
"60004",71070.9471437789
"54057",11629782.2659052
"84020",151838.609372657
"75002",1542398.93937497
"49005",13952.9393139321
"96006",245298.661658916
"50013",34033.2864292645
"76004",302444.260358584
"76011",4302.34934570269
"48003",136817.369213764
"81003",404172.496056031
"81004",759487.491532382
"91802",15608.1796260313
"101002",44993.0352021194
"84009",125005.337122922
"63003",99852.1930266797
"202001",0
"83002",318794.577732096
"69004",300046.920491845
"52026",9407.58371443339
"80002",2009873.43602858
"55004",144241.007341809
"73016",93914.1455613618
"89009",32205.7895207459
"54098",19333.7764713928
"31026",3475.82955216025
"203011",0
"203021",0
"203022",0
"205003",0
"82001",559731.620535431
"203049",0
"79007",214575.002464759
"18011",2740861.59816573
"205011",0
"83009",498003.11486205
"203043",0
"81006",280793.093924462
"80003",10660.3005500194
"42029",131062.131659532
"21021",5674374.16872652
"19017",39589.532256819
"19021",268185.278180557
"26007",14755.0373915038
"21032",392602.773072341
"27008",2088206.79445123
"25009",2705448.14703745
"24006",113021.003123656
"26004",19009.7245721682
"27072",137356.008062197
"27068",123366.202431489
"27056",67649.818655192
"27018",49191.5697262532
"27031",380022.394014504
"27038",7388.50722364459
"27003",2574120.60766327
"28079",68453.0059246222
"28080",412070.256538369
"28046",47269.2787780959
"28059",8086.26764359361
"28001",475302.430200517
"28004",411612.84473915
"28008",449645.563744928
"28010",1295398.59500144
"39134",4949.85176630704
"42006",11226.4469669191
"41034",1870.57473901074
"54115",97558.2967964594
"41021",10410.6544235184
"39009",4578004.89651584
"39010",232667.961132958
"39011",275731.983128983
"39097",687154.564595258
"34001",270102.059644191
"71014",223917.781769096
"74005",268082.853164806
"40021",53812.9451914309
"33045",45838.5211152155
"45001",1012432.65535625
"39016",451704.648818266
"37010",237934.942769811
"39032",3843.45626754154
"37026",19248.8961736629
"33013",110181.264782319
"37016",68297.4570654632
"39114",9045.30600505445
"54023",98503.6097403842
"67023",16272.1815234566
"41026",45024.1731921546
"84025",149338.937181325
"53024",16333.372716508
"101005",33294.7557212665
"54061",3191.34267902995
"53006",137873.429464162
"54089",2324374.50692095
"57015",274259.273795151
"64004",325916.519007981
"56019",127781.939644925
"72005",622000.308086242
"201007",0
"69015",489393.554972169
"54022",15105.5276358233
"55005",295403.189435703
"73010",701604.686697048
"76022",422973.067204623
"55010",63591.971018754
"56011",173518.086868047
"6001",4004637.34472486
"3003",650994.241709672
"3005",1238773.854393
"1001",513160.376092489
"2001",930990.242166941
"6007",4040752.69204373
"8001",4602830.06952667
"7007",117236.944674135
"7008",246512.45554966
"11001",2008023.61035453
"11004",299406.398070952
"12002",2748955.76679036
"12003",1073245.61726341
"15041",594434.455625642
"16004",1646535.16382697
"18021",2988.56911614563
"15010",557546.267200033
"15012",2925548.53429095
"19012",187295.07833557
"18014",59553.5223505598
"18022",124892.459825456
"19001",655842.845336118
"23001",5368946.43169108
"23003",2601811.33693029
"20002",18100.5935564564
"20004",27072.1612572155
"54029",1988403.24551829
"54026",20582.9281896284
"76015",360677.572561456
"37027",5249.18122530934
"41002",30123.8815510248
"47006",375796.482853138
"41012",127486.279145886
"38007",14306.2902651095
"33022",575808.777009902
"33024",161416.233889193
"39100",21001.0207637444
"40013",46674.3099620207
"39028",21650.5392449271
"39110",35260.8658359875
"39112",56.8214526859829
"35008",157530.518975448
"39119",624.38847268658
"47020",144314.581458521
"43023",9398.43202270797
"39138",725723.516977117
"43017",67391.4984906159
"58003",153375.996155212
"43012",40620.2142685516
"47015",316542.404950998
"39129",1069924.93848722
"39131",68901.4478429061
"39095",14649.9293399019
"56004",1107135.94391735
"56006",463038.179347358
"27075",140737.763871471
"28058",37414.2631080663
"31011",40409.4581908675
"33002",1321586.50522005
"33004",224779.571514216
"28066",41682.6619190633
"30004",104694.270090525
"30006",24055.5402399805
"39098",26073.0512573381
"45012",441252.538683625
"31005",349703.785418309
"31028",61388.0216025294
"69045",286916.317019398
"54038",437542.230338132
"67025",122309.254667413
"39120",27319.1962974032
"39093",61698.0074971865
"42027",7766.71719964983
"39123",47486.0706076592
"41017",54359.2505980191
"42005",2877.70301521735
"34008",28617.4621437696
"41018",107873.863181757
"67027",3139337.12332917
"38014",15890.9777856769
"40004",304890.603071232
"42008",3096.44219333093
"67008",323835.43023027
"70005",94156.0739815763
"75001",109409.785502177
"69012",90667.8330833423
"88001",136044.066743088
"108001",55846.4112176802
"63002",300452.305058812
"68002",136390.306146125
"68003",520861.807842703
"55011",250818.560638202
"55012",518037.293332836
"53017",49856.6711057711
"69035",279181.572623308
"72015",369945.947192448
"55025",168556.634983751
"96005",126066.485687505
"66005",174679.032523138
"54067",28736.4945589591
"72007",88070.5508447414
"66006",357200.526164166
"76005",1003352.72844151
"76010",121064.213561614
"50005",23100.3633955572
"65006",237686.993787488
"236005",0
"75018",1544187.76976649
"203093",0
"64006",72788.6500106014
"54066",6375.49003867115
"49003",25240.5976291278
"106001",63878.5901703498
"73014",202876.150790249
"54084",46118.3543081348
"82003",850992.532025918
"83007",102927.081018013
"83008",163005.364521347
"90003",273412.654372428
"56012",251956.600941868
"89008",17591.5454154377
"83012",30411.0169238741
"73017",213716.951499841
"33023",61146.8610143735
"28017",342272.813733095
"85002",511492.171699815
"89004",210634.078402897
"39108",23504.5510536774
"203040",0
"81005",58313.6504501653
"19007",561063.197796173
"23002",282281.979362722
"27048",233612.928148907
"25001",2379498.21463736
"23012",220190.091483014
"25005",320423.217632624
"23017",59056.5891996427
"24001",1478896.69471716
"25022",101890.904797541
"25809",0
"25023",207776.357034746
"27069",228588.957356851
"27013",101608.638745835
"27055",300889.537295692
"27016",143458.445315178
"27017",80463.9585371096
"27024",932523.881588564
"27025",405029.740662584
"27034",1302719.37469185
"28047",47516.8441580621
"27043",847635.535575821
"27061",182297.751089602
"28035",46438.9111906915
"28038",104128.445388999
"28005",1005489.47474983
"28006",320144.969590349
"28011",942158.122834352
"43025",25993.1051976822
"42011",21142.3957572485
"39115",25583.9087204443
"32029",9014.61636051811
"57017",67527.6007187894
"39068",366715.683378236
"33037",628676.694966178
"42016",14108.7792601133
"52002",59840.5554843846
"71009",2322189.08748498
"42018",50344.6081115103
"39076",151127.326335968
"34007",125558.148938587
"39019",14226.191695011
"39020",30435.4185723524
"37008",206356.252446636
"38030",97453.9343737077
"84013",3323955.09375182
"33032",3134.49965600236
"45013",51326.5883289722
"45816",16497.8674246483
"54114",773698.047352289
"33015",207069.215751272
"33016",731835.930629727
"33018",111718.124589222
"58008",178283.955610237
"39118",582.278390798976
"54113",79498.2136258934
"69043",32028.4487425234
"56013",118477.505233078
"54102",101556.640334061
"54045",54616.5876701764
"52007",90619.4792277823
"55033",6922.34802165983
"58006",182790.898475197
"89003",932849.898507251
"53007",326644.93164134
"75004",269829.915660262
"50012",100277.729790938
"57001",108563.525714944
"54018",265066.470750186
"72002",700076.242181467
"31002",330044.621207983
"42010",39631.4665605079
"201008",0
"55022",239423.630962196
"65005",64454.6038487796
"54046",34623.1337770533
"50001",1352346.20717782
"55013",181214.503092543
"64001",1198651.91371289
"68020",135035.09476231
"54004",176867.890578221
"54005",4235880.21680183
"54008",1541748.7850598
"55018",135487.569974815
"53028",51932.9886827897
"8017",35435.67804118
"8015",81132.0015775154
"4003",390610.45415854
"4008",69105.5676265801
"3001",987548.194817664
"8008",256899.518748146
"9006",106197.353865074
"7011",104754.279053749
"9009",197862.817106394
"8021",65224.4621473376
"9001",849067.2574239
"9003",408363.558503703
"12009",72100.1534368527
"15008",238489.308482453
"16002",423818.655880903
"18017",24736.9031306427
"17001",291708.950521077
"17002",729749.443572121
"17016",29403.3797775362
"21006",2765923.88460548
"21010",3585292.38416771
"18005",476137.6455229
"19010",23249.6635003116
"23015",2659268.92940557
"22002",151057.178550649
"23014",68298.5070948777
"21027",192770.55857075
"50011",122440.42111962
"47016",28923.1365651118
"40025",70964.0047116885
"41003",166667.056133703
"33028",143223.196023707
"36006",571252.467581194
"36008",247432.206699135
"38026",61616.4092912774
"38004",177526.346792833
"38005",101268.50251547
"44004",108086.908316501
"39043",48943.1743832033
"41014",603908.359066934
"43004",21531.81233392
"93002",317315.64374309
"202002",0
"36010",25422.1039368167
"56001",1845955.38130224
"28016",132459.413263991
"28019",2423034.69776333
"28027",164436.769270759
"28031",260751.498351663
"28043",812126.214526039
"28032",37512.9688117971
"27077",20051.2726357261
"39046",2489460.60199196
"31025",32129.7285522974
"33003",759776.552887272
"28112",373481.497822366
"30015",13401.3490404946
"28103",6835.86624303845
"28110",3401.03213176789
"45010",72576.3539483434
"45011",178966.60510275
"42012",13767.6377774598
"41035",100661.440545265
"31006",88690.1612314639
"84011",293642.839981397
"69023",220552.985634698
"69044",261026.854237129
"37013",84046.5929525707
"37011",84016.1795968557
"38031",509488.442444721
"33054",23420.9666495158
"38028",36313.323465433
"38019",16125.5042439603
"40005",370096.097103504
"40008",247509.125840803
"40010",256649.157553574
"41024",30328.066101656
"58012",243096.44280088
"49006",18837.7065216621
"27096",364267.951355716
"68006",290421.944433477
"67003",28556.0804104535
"65015",136264.171546964
"72817",64212.9675275555
"62001",1513431.82285397
"68007",209096.851447613
"54906",154504.116654982
"54080",340581.569462363
"54047",141320.003565576
"72016",319144.732951484
"95006",154994.853890335
"74007",181710.268389767
"69011",53219.5506806215
"69042",4335.27368362732
"92002",31125.2861088457
"205105",0
"64010",242241.229897018
"92003",97257.6374178692
"65004",208658.469759346
"74002",96871.9459233391
"101004",78620.0517360826
"89006",93940.4061046232
"58011",64849.2970036725
"53020",22153.8437142967
"54003",171732.781959491
"69013",23948.8656045401
"48009",16533.0403429798
"75007",157500.261490457
"54100",18596.4167179164
"84001",608720.771061132
"101001",75363.4978130321
"73002",250036.697372725
"54099",21234.1126467876
"84037",212081.037951866
"49008",17094.9378912044
"79003",359519.527027338
"203024",0
"33040",109.247824666458
"27093",61763.0877401376
"39866",4577612.5853607
"19004",198788.378165554
"19005",511483.254466534
"19006",198488.063995121
"19002",115801.048735239
"19008",227048.788154489
"21029",78757.8914989931
"22001",1018938.08824779
"24011",95910.7038656899
"25003",42479.4134829614
"23033",537027.747977048
"27014",1103315.86466989
"27060",170846.914195957
"27083",223531.894031725
"27085",325335.526257497
"27020",9937.30256665284
"27028",952439.3814858
"27032",71018.2067819325
"27035",464962.98083835
"27004",1392838.70925336
"28081",46449.6145457826
"28082",149826.499746746
"28093",944314.582769632
"28095",972364.472616421
"28048",137553.641747763
"28117",971691.996824379
"28052",102443.566298533
"28072",34891.3940576778
"27051",19929.2197401354
"30011",29666.6545103076
"28037",667622.342905776
"28002",218719.057740253
"44006",2601.20565137344
"39069",174280.303798744
"33044",410212.948616307
"32031",56776.1811515364
"41030",64619.5200302488
"37018",46963.6293850016
"34003",145368.708694626
"34005",66771.2771512171
"71008",809591.982940686
"41022",100712.376668248
"41028",37846.3677185354
"37006",278820.019757703
"39013",172902.056441495
"39014",18889.3245676159
"39018",234770.479193292
"39029",31495.9299591972
"47025",17338.6115231291
"34014",322876.345484103
"84014",479263.805693773
"75016",144479.808254807
"35001",280853.759709309
"33012",283469.070293736
"33017",3338863.82189672
"33065",809.353196968591
"40017",39478.6573157005
"43013",14281.3475643031
"48005",23127.0756795633
"58002",653425.674605072
"47014",76156.7157748799
"54112",92198.2642612004
"84030",230212.309270563
"54106",150576.305822974
"56003",96791.0214289383
"56007",67403.1128066647
"89002",167899.146305993
"54059",5481.47283839275
"53008",161375.729595212
"77002",1114842.05297662
"50003",23167.5332026808
"54017",285936.666934715
"73009",132648.216283729
"57006",356038.690088686
"57009",402983.184526114
"72004",2491899.92984252
"50010",442863.105740536
"69017",343041.047849346
"52008",32619.2112952501
"54050",238553.1742295
"205020",0
"54020",162777.811271375
"68018",280227.802452752
"48010",59052.6468108672
"55029",696118.019936864
"54011",108826.105365727
"53029",64960.1936904824
"67006",494100.545300852
"5004",497985.306312793
"4006",297687.823391187
"5001",1483586.33249489
"6009",887548.858266612
"7001",733177.220997588
"8010",2928394.17783092
"13007",1303735.69334658
"9010",474818.674754062
"13005",186710.74713453
"15005",46862.2922252321
"11005",305654.699668224
"12001",2034179.97747509
"16003",294765.744665572
"15002",19140.1130319109
"18020",2353.52553725804
"15016",1797612.0657386
"15017",381572.015332334
"15018",450288.992174665
"15021",127191.157049046
"21008",1953910.86464349
"21009",7357602.24733831
"18007",136861.399859853
"18010",940974.458479064
"22007",465031.110496284
"24009",1825941.7482367
"42024",23198.4125037067
"39006",174748.087665576
"39007",406610.446786188
"40016",24110.2880053562
"40018",55804.0193874931
"41011",161402.25059137
"54043",8998737.99774034
"39144",56977.4167635995
"39145",707.23715407008
"39147",296.32660215949
"33049",40760.5255734677
"39058",12594.9815158266
"39061",90.7109838352469
"33029",83190.8088723524
"42017",19332.3628425173
"43018",29372.0931075369
"69048",104992.534735664
"67015",2346925.3143431
"39085",12216.4219145589
"36005",119301.71354054
"39027",69247.4048250844
"38003",10011.1929799299
"32016",1666.47577529119
"44001",221151.245999763
"33062",193.411859301372
"43005",130470.936779273
"43008",74030.4094725293
"93001",415577.217971932
"39128",157272.100577862
"39073",37521.5095169469
"38025",16120.8907806285
"36011",39104.2767174734
"28029",74326.9790180401
"28030",8546.34560268331
"31013",81071.24579119
"27081",17389.7135471863
"31010",59144.8782028348
"30018",29112.4927702749
"28067",1403350.73887388
"31024",21054.6856362989
"29001",30031.5249099581
"30013",3727.48328997383
"35011",42668.4479331654
"45007",1980256.30862222
"32002",59387.7972714723
"32004",133128.569045772
"41023",7514.06162867179
"84015",477130.0560494
"69027",302611.75319958
"42014",127511.961814275
"52001",7877.14790018644
"39039",3013.34381050862
"38017",3061.10868373734
"39104",477987.171665212
"39084",35592.453069482
"39086",32065.2086323968
"33046",287396.413000781
"41037",396.280742194283
"54091",5621.4603673319
"76019",97963.5594627316
"55015",62571.29970531
"53001",545926.017726815
"61003",70591.9637255805
"68004",62495.8914429079
"69033",79721.2254128757
"69047",37384.1181751722
"48012",87728.8007578389
"69037",2871110.25091386
"70002",259634.820112475
"70003",116108.026799099
"84023",37937.4229622113
"73005",548069.820785231
"76007",3605032.13732695
"49004",43758.9172293844
"66004",51363.9589392147
"95002",276220.877319785
"203092",0
"84033",237419.843029644
"52025",37322.7373084569
"92004",314120.498092475
"69020",35058.5232595465
"67029",16772.9828349981
"75006",67260.6392387808
"78004",198468.870151047
"81001",39615.7346452514
"66012",238852.104042233
"53019",38284.771318604
"84031",7383.17813341685
"82002",566367.664053389
"52016",18517.6309789769
"76001",79272.9410335341
"89005",196372.403728279
"65001",232683.425052287
"67013",79560.1052441949
"68011",66577.7003292821
"54048",98515.6312829789
"53023",23519.8507862678
"76020",109852.649682984
"33052",25346.6721510693
"203017",0
"203019",0
"203097",0
"204001",0
"79006",1186797.88841663
"203025",0
"84004",1400897.19229498
"80005",6185.48325210257
"77004",155506.168276782
"79001",19260.3892556764
"42030",2011.44899095377
"43027",1009.56926574433
"60017",141417.225871391
"21016",160128.052121927
"21022",736384.459412071
"21026",70484.3209748871
"21034",243853.265913335
"21019",109747.905198534
"26008",36072.3608457849
"26009",21427.3173807409
"25004",167088.713529207
"25006",305363.362947906
"25011",35749.9920055664
"23018",10827.4681995016
"25029",310497.594749262
"25810",0
"27090",1152352.56655738
"25020",115067.900096865
"25012",101979.043322225
"27092",747527.699867141
"27057",250960.796999754
"27015",2661819.40791906
"27087",820625.008618309
"28091",133105.127124317
"28050",122556.410922681
"28040",80418.526228044
