"id","area","rainfall","runoff","evapotransmission","Manning_n_hillslope","channel_width","channel_depth","width_B","gradient_perpendicular","length_A","gradient_parallel","length_B","aquifer_thickness","hydraulic_conductivity_A","MvG_alpha","MvG_thetaR","MvG_thetaS","MvG_n","width_A"
1001,161900000,2.95974843532614e-08,1.86102532427424e-08,1.09872311105189e-08,0.0452202688728025,1.5813133696393,0.787159750685799,687.606178,0.026421569,165837.196732363,0.0129409525247514,513160.376092489,699.02886413705,3.2037037037037e-06,5.42185185185185,0,0.466741310541311,1.19179230769231,315.49591032886
2001,551400000,3.53965631933543e-08,2.40206746463547e-08,1.13758885469996e-08,0.0363192434890451,3.31546431816118,1.28947766207734,725.3563494,0.098247673,301594.161376901,0.018339654811031,930990.242166941,0,3.2037037037037e-06,7.19890804597701,0,0.444472988505747,1.19060172413793,592.272587859332
2002,434400000,3.85654587343888e-08,2.75851749539595e-08,1.09802837804293e-08,0.0352559813463098,3.15356042323593,1.24714903606722,764.4237731,0.101658072,256902.108983584,0.022465020597862,659867.899864657,0,3.2037037037037e-06,7.3709711846318,0,0.442316862326574,1.19048644610459,658.313580777453
3001,494600000,5.07023286565505e-08,3.0731904569349e-08,1.99704240872016e-08,0.0559965111208024,3.55173185924839,1.35003293929689,708.559134,0.117014713,316791.863716047,0.0258819215982877,987548.194817664,0,NA,NA,NA,NA,NA,500.836316238035
3002,241100000,5.65330964520539e-08,3.76316880962256e-08,1.89014083558282e-08,0.0377249396135266,2.74406144847378,1.13670247577289,758.6953025,0.208365027,158495.985134211,0.0519623653470981,480410.959176713,0,3.2037037037037e-06,7.44554054054054,0,0.441382432432432,1.19043648648649,501.861990020329
3003,330700000,6.00822594580124e-08,4.92651950408225e-08,1.08170644171899e-08,0.0495100528025995,3.67710115879343,1.38161795782123,676.7140007,0.161561039,220442.591588239,0.0333413520603326,650994.241709672,0,3.2037037037037e-06,6.95540689655172,0.00645931034482759,0.457422620689655,1.20662855172414,507.992204556986
3004,187500000,7.13001496732742e-08,3.84586666666667e-08,3.28414830066075e-08,0.0347287843455338,2.44633610344123,1.0529190925268,700.2890767,0.132484592,127711.05492541,0.0536128170708842,445753.13855356,0,3.2037037037037e-06,7.07156097560976,0.00299146341463415,0.450652926829268,1.19803390243902,420.636410117998
3005,5.75e+08,4.83573459561851e-08,8.64521739130435e-09,3.97121285648807e-08,0.0562879767291532,2.03114186875265,0.930131651642196,696.1436344,0.113499216,396799.869910652,0.0260021036386226,1238773.854393,0,NA,NA,NA,NA,NA,464.168659970427
3006,44340000,8.10603479396602e-08,6.72530446549391e-08,1.38073032847211e-08,0.0439361922519163,1.57315746891403,0.784450809159386,619.4701075,0.193355708,28460.2987606364,0.0435431133791212,96594.0192519733,0,3.2037037037037e-06,5.90393939393939,0.0101363636363636,0.476233333333333,1.21636363636364,459.034631164229
4001,961800000,5.60577621208987e-08,5.22270742358079e-08,3.83068788509084e-09,0.0437533833021028,6.45667032393632,2.01089776904542,749.3190368,0.197891996,638339.72361116,0.0496743417773979,1857495.30676547,21.923083051462,3.2037037037037e-06,7.20234052757794,0,0.444429976019185,1.19059942446043,517.794040446229
4003,2.01e+08,4.328711309053e-08,3.10248756218905e-08,1.22622374686395e-08,0.0546740235964199,2.2749477699499,1.00314844538843,759.5382519,0.188776235,137098.424816236,0.0436972187848779,390610.45415854,254.021400966981,3.2037037037037e-06,7.17027272727273,0,0.444831818181818,1.19062090909091,514.579161566471
4004,336700000,5.07023286565505e-08,1.78942678942679e-08,3.28080607622826e-08,0.0510241026171511,2.23612925051304,0.991704276480839,788.5304693,0.193774232,206373.786934466,0.0483706551721968,532990.050619006,0,3.2037037037037e-06,7.38452722063037,0,0.442146991404011,1.19047736389685,631.719109219698
4005,120500000,6.79728093551881e-08,5.72448132780083e-08,1.07279960771798e-08,0.0352483092762693,2.39265439585411,1.03745889582158,728.5149648,0.243466262,72970.7211208843,0.0567878174300028,280030.910351331,0,3.2037037037037e-06,7.26029739776952,0,0.443703717472119,1.19056059479554,430.309639206682
4006,116100000,6.9810768768988e-08,5.99310938845823e-08,9.87967488440575e-09,0.0307152433993399,2.4030377271279,1.04045821547527,764.1653062,0.171507046,83487.8269888669,0.0464535565365702,297687.823391187,0,3.2037037037037e-06,7.37455252918288,0,0.442271984435798,1.19048404669261,390.005874870585
4007,2.89e+08,5.29839334460953e-08,1.6598615916955e-08,3.63853175291403e-08,0.0461183938893476,1.9952771829999,0.919150035761988,773.7732341,0.199076847,175325.355925215,0.0505346940180663,461921.586265588,NA,3.2037037037037e-06,7.38009917355372,0,0.442202479338843,1.19048033057851,625.647314593857
4008,4.1e+07,2.46223183538374e-08,1.15853658536585e-08,1.30369525001788e-08,0.099536,0.62786342065771,0.425233729567899,732.6612455,0.072873181,27026.4158776167,0.0185301028565427,69105.5676265801,596.686204499219,3.2037037037037e-06,5.21135802469136,0,0.469379012345679,1.19193333333333,593.295177337204
