"id","depth","KS","HCC_thr","HCC_ths","HCC_alp","HCC_n"
"10001",0,3.18784792510121e-06,0.0174924089068826,0.523470748987854,3.03386639676113,1.23635253036437
"10001",5,3.19419023654221e-06,0,0.490893319838057,3.49447368421053,1.19308360323887
"10001",15,3.19419023654221e-06,0,0.490944433198381,3.49039473684211,1.19308633603239
"10001",30,3.20053254798321e-06,0,0.490586639676113,3.51894736842105,1.19306720647773
"10001",60,4.08822537112011e-07,0,0.432394331983806,3.49967611336032,1.17117287449393
"10001",100,8.77741228070175e-07,0,0.432462348178138,3.54856275303644,1.1715483805668
"10001",200,7.7267370482831e-07,0,0.432685829959514,3.70919028340081,1.17278218623482
"10002",0,3.2037037037037e-06,0.0319475177304965,0.549636737588653,2.71347517730496,1.27206808510638
"10002",5,3.2037037037037e-06,0.00158156028368794,0.489246808510638,3.81927659574468,1.19675021276596
"10002",15,3.2037037037037e-06,0,0.485756028368794,3.90443971631206,1.19280893617021
"10002",30,3.2037037037037e-06,0,0.483034042553191,4.12165957446809,1.19266340425532
"10002",60,4.37015694772787e-07,0,0.433405106382979,4.22617021276596,1.17675319148936
"10002",100,9.02414959285527e-07,0,0.433500425531915,4.29468085106383,1.17727943262411
"10002",200,8.41676516942474e-07,0,0.43403829787234,4.68127659574468,1.18024893617021
"10003",0,3.19004589266686e-06,0.0155536181342633,0.519805928509154,3.08923278116827,1.23155387968614
"10003",5,3.1955090170816e-06,0,0.490715693112467,3.50864864864865,1.19307410636443
"10003",15,3.1955090170816e-06,0,0.490759721011334,3.50513513513513,1.1930764603313
"10003",30,3.20097214149634e-06,0,0.490275414123801,3.54378378378378,1.19305056669573
"10003",60,5.21816171009719e-07,0,0.432430165649521,3.52543156059285,1.17137070619006
"10003",100,9.82100043591979e-07,0,0.432497122929381,3.57355710549259,1.17174036617262
"10003",200,8.65326011495366e-07,0,0.43272310374891,3.73598081952921,1.17298796861378
"1001",0,3.2037037037037e-06,0.0638504273504274,0.608994017094017,1.87803418803419,1.35097948717949
"1001",5,3.2037037037037e-06,0.054002849002849,0.589388034188034,2.23837606837607,1.32655299145299
"1001",15,3.2037037037037e-06,0.00158831908831909,0.471398005698006,5.24447293447293,1.19581196581197
"1001",30,3.2037037037037e-06,0,0.466741310541311,5.42185185185185,1.19179230769231
"1001",60,6.48148148148148e-08,0,0.434579487179487,5.07025641025641,1.18323675213675
"1001",100,6.48148148148148e-08,0,0.434688888888889,5.14888888888889,1.18384074074074
"1001",200,6.48148148148148e-08,0,0.434880341880342,5.28649572649573,1.18489772079772
"101001",0,4.32113603988604e-07,0,0.472433653846154,2.70875,1.21022115384615
"101001",5,6.48827012108262e-07,0,0.462079807692308,2.28875,1.21966730769231
"101001",15,3.62761529558405e-06,0,0.471786538461539,2.6825,1.21081153846154
"101001",30,6.73737980769231e-06,0,0.484081730769231,3.18125,1.19959423076923
"101001",60,2.31221064814815e-06,0,0.431654807692308,3.32855769230769,1.16862884615385
"101001",100,2.42673833689459e-06,0,0.431109615384615,3.29711538461538,1.16715769230769
"101001",200,2.49535924145299e-06,0,0.431473076923077,3.31807692307692,1.16813846153846
"101002",0,1.2756734006734e-07,0,0.467950909090909,2.52690909090909,1.21431090909091
"101002",5,1.2756734006734e-07,0,0.459385454545455,2.17945454545455,1.22212545454545
"101002",15,4.6727904040404e-06,0,0.466727272727273,2.47727272727273,1.21542727272727
"101002",30,7.12992424242424e-06,0,0.474069090909091,2.77509090909091,1.20872909090909
"101002",60,2.68251262626263e-06,0,0.431829090909091,3.26581818181818,1.17294363636364
"101002",100,2.83371212121212e-06,0,0.432014545454545,3.31290909090909,1.17152181818182
"101002",200,2.88775252525253e-06,0,0.4322,3.36,1.1701
"101003",0,7.06018518518519e-08,0,0.434754838709677,1.18032258064516,1.24459677419355
"101003",5,7.06018518518519e-08,0,0.434754838709677,1.18032258064516,1.24459677419355
"101003",15,1.76702508960573e-06,0,0.436925806451613,1.26838709677419,1.24261612903226
"101003",30,6.75044802867383e-06,0,0.445609677419355,1.62064516129032,1.2346935483871
"101003",60,1.79222670250896e-06,0,0.427361290322581,2.37064516129032,1.19455806451613
"101003",100,1.85954301075269e-06,0,0.427835483870968,2.85,1.17196451612903
"101003",200,1.85954301075269e-06,0,0.428493548387097,3.01709677419355,1.16691935483871
"101004",0,4.25292627533194e-07,0,0.472787735849057,2.72311320754717,1.20989811320755
"101004",5,6.37917103424179e-07,0,0.462629245283019,2.31103773584906,1.21916603773585
"101004",15,3.63137665967855e-06,0,0.472152830188679,2.69735849056604,1.21047735849057
"101004",30,6.75411643955276e-06,0,0.484216037735849,3.18669811320755,1.19947169811321
"101004",60,2.29826170510133e-06,0,0.431665094339623,3.32915094339623,1.16865660377359
"101004",100,2.4106284940601e-06,0,0.431130188679245,3.29830188679245,1.16721320754717
"101004",200,2.47795466457023e-06,0,0.43148679245283,3.3188679245283,1.16817547169811
"101005",0,2.16327519379845e-07,0,0.461462790697674,2.26372093023256,1.22023023255814
"101005",5,2.16327519379845e-07,0,0.447376744186047,1.69232558139535,1.23308139534884
"101005",15,2.45335378983635e-06,0,0.461462790697674,2.26372093023256,1.22023023255814
"101005",30,6.22849375538329e-06,0,0.481809302325581,3.08906976744186,1.20166744186047
"101005",60,2.12042420327304e-06,0,0.431320930232558,3.3093023255814,1.16772790697674
"101005",100,2.07313199827735e-06,0,0.430002325581395,3.23325581395349,1.16416976744186
"101005",200,2.12879521963824e-06,0,0.430881395348837,3.28395348837209,1.16654186046512
