"id","area","rainfall","runoff","evapotransmission","Manning_n_hillslope","channel_width","channel_depth"
"1001",161900000,2.95974843532614e-08,1.86102532427424e-08,1.09872311105189e-08,0.0452202688728025,1.5813133696393,0.787159750685799
"2001",551400000,3.53965631933543e-08,2.40206746463547e-08,1.13758885469996e-08,0.0363192434890451,3.31546431816118,1.28947766207734
"2002",434400000,3.85654587343888e-08,2.75851749539595e-08,1.09802837804293e-08,0.0352559813463098,3.15356042323593,1.24714903606722
"3001",494600000,5.07023286565505e-08,3.0731904569349e-08,1.99704240872016e-08,0.0559965111208024,3.55173185924839,1.35003293929689
"3002",241100000,5.65330964520539e-08,3.76316880962256e-08,1.89014083558282e-08,0.0377249396135266,2.74406144847378,1.13670247577289
"3003",330700000,6.00822594580124e-08,4.92651950408225e-08,1.08170644171899e-08,0.0495100528025995,3.67710115879343,1.38161795782123
"3004",187500000,7.13001496732742e-08,3.84586666666667e-08,3.28414830066075e-08,0.0347287843455338,2.44633610344123,1.0529190925268
"3005",5.75e+08,4.83573459561851e-08,8.64521739130435e-09,3.97121285648807e-08,0.0562879767291532,2.03114186875265,0.930131651642196
"3006",44340000,8.10603479396602e-08,6.72530446549391e-08,1.38073032847211e-08,0.0439361922519163,1.57315746891403,0.784450809159386
"4001",961800000,5.60577621208987e-08,5.22270742358079e-08,3.83068788509084e-09,0.0437533833021028,6.45667032393632,2.01089776904542
"4003",2.01e+08,4.328711309053e-08,3.10248756218905e-08,1.22622374686395e-08,0.0546740235964199,2.2749477699499,1.00314844538843
"4004",336700000,5.07023286565505e-08,1.78942678942679e-08,3.28080607622826e-08,0.0510241026171511,2.23612925051304,0.991704276480839
"4005",120500000,6.79728093551881e-08,5.72448132780083e-08,1.07279960771798e-08,0.0352483092762693,2.39265439585411,1.03745889582158
"4006",116100000,6.9810768768988e-08,5.99310938845823e-08,9.87967488440575e-09,0.0307152433993399,2.4030377271279,1.04045821547527
"4007",2.89e+08,5.29839334460953e-08,1.6598615916955e-08,3.63853175291403e-08,0.0461183938893476,1.9952771829999,0.919150035761988
"4008",4.1e+07,2.46223183538374e-08,1.15853658536585e-08,1.30369525001788e-08,0.099536,0.62786342065771,0.425233729567899
"4009",17300000,3.35586037795544e-08,1.52601156069364e-08,1.8298488172618e-08,0.103733507906134,0.468080275166557,0.349621241969545
"4010",70920000,7.54830917874396e-08,6.99802594472645e-08,5.50283234017509e-09,0.0306493896337803,2.02950681767763,0.929632419529307
"4011",58360000,7.82400309081395e-08,7.28923920493489e-08,5.34763885879068e-09,0.027094,1.87895820443138,0.883071084053768
"5001",849500000,6.82263209984708e-08,5.37174808711007e-08,1.45088401273702e-08,0.0421961985874533,6.15400560553856,1.94755400476326
"5002",311300000,6.94305013040639e-08,6.22357854159974e-08,7.19471588806646e-09,0.0321797013678605,4.00984905626134,1.46375907540409
"5003",481800000,7.12684607178639e-08,6.54047322540473e-08,5.86372846381653e-09,0.0454924675324675,5.11394862625741,1.72142652870683
"5004",277500000,7.00009025014501e-08,1.77477477477477e-08,5.22531547537023e-08,0.0518416177832664,2.02172226702878,0.927253711945169
"6001",1792300000,5.63746516750021e-08,4.11577302906879e-08,1.52169213843142e-08,0.0546657023465124,7.82437105504334,2.2856893750854
"6003",3.91e+08,6.70221406928777e-08,5.30102301790281e-08,1.40119105138496e-08,0.0499409407298038,4.14750196708814,1.49706957664072
"6006",27500000,4.91178808860333e-08,3.2e-08,1.71178808860333e-08,0.0385114503816794,0.854593751439829,0.522264764419843
"6007",1839100000,5.59310062992573e-08,4.91544777336741e-08,6.77652856558323e-09,0.054969466466681,8.66168911933464,2.44597855898509
"6008",105900000,4.08787524793439e-08,3.0604343720491e-08,1.02744087588528e-08,0.0608242994477398,1.64005303603268,0.80653430801741
"6009",403100000,6.75291639794433e-08,1.40337385264202e-08,5.3495425453023e-08,0.0496273619761427,2.16676327664099,0.971087942751531
"6011",75900000,5.1209351943116e-08,4.69169960474308e-08,4.29235589568522e-09,0.030323744612609,1.719112759827,0.83225004408705
"6012",56200000,4.2177999651168e-08,3.01423487544484e-08,1.20356508967196e-08,0.0558001422475107,1.18570071012883,0.649682204215765
"6013",9220000,2.47490741754787e-08,1.93058568329718e-08,5.44321734250693e-09,0.08919,0.384351321059262,0.306574834894631
"7001",415600000,3.85654587343888e-08,3.35779595765159e-08,4.98749915787288e-09,0.0369622603633444,3.40316728284109,1.31211867247183
"7002",781900000,3.37487375120165e-08,2.51285330604937e-08,8.62020445152278e-09,0.0442347607052897,4.03810448205591,1.47062728315178
"7003",2.16e+08,2.63968998568166e-08,1.24953703703704e-08,1.39015294864463e-08,0.0817558628983764,1.49664851551725,0.758806071396318
"7004",3.13e+08,2.98509959965441e-08,1.75623003194888e-08,1.22886956770553e-08,0.0657763117520712,2.13590162156406,0.961844976851423
"7005",1.65e+08,2.76010801624097e-08,1.74606060606061e-08,1.01404741018036e-08,0.040363321799308,1.54628664904021,0.775492475681149
"7006",2e+07,3.02946413722889e-08,1.86e-08,1.16946413722889e-08,0.101562342759384,0.555635322851239,0.391962165974056
"7007",4.4e+07,2.55729870161477e-08,1.08409090909091e-08,1.47320779252386e-08,0.0950195136595617,0.629183849919878,0.425829713150299
"7008",128100000,3.27980688497061e-08,2.04918032786885e-08,1.23062655710176e-08,0.0587195828505214,1.47598869406239,0.751806838063856
"7009",28300000,2.54462311945063e-08,1.12014134275618e-08,1.42448177669445e-08,0.0976537653765377,0.512918080203847,0.371606175803739
"7010",80680000,2.56680538823787e-08,1.24442240951909e-08,1.32238297871878e-08,0.0859342369477912,0.912820181634915,0.545725699925139
"7011",36370000,2.5604675971558e-08,9.48583997800385e-09,1.61188359935542e-08,0.0936813131818637,0.535091342669642,0.382240060050731
"7012",31600000,2.98193070411338e-08,1.5e-08,1.48193070411338e-08,0.109100311276233,0.627202163580452,0.424935110277576
"8001",2654700000,3.59035864799199e-08,2.12280106980073e-08,1.46755757819125e-08,0.0482470540839964,6.83881334984367,2.08947935668335
"8002",1011700000,4.17026653200128e-08,2.26490066225166e-08,1.90536586974963e-08,0.0389408445026706,4.36082673285697,1.54797332252014
"8003",533800000,4.35723136892231e-08,1.75327838141626e-08,2.60395298750605e-08,0.0362537703599437,2.78697517732039,1.14852288017685
"8004",542800000,3.51113625946613e-08,2.70044215180545e-08,8.10694107660672e-09,0.0416269284712482,3.48783342750195,1.33379189714461
"8005",1267800000,4.04667960590094e-08,2.32331598043855e-08,1.72336362546239e-08,0.0439144936325045,4.94422117779939,1.68312425284179
"8006",2861200000,3.5459941104175e-08,2.28526492380819e-08,1.26072918660931e-08,0.0501681603061122,7.36649268688974,2.19562462176605
"8007",400400000,4.5315206236792e-08,1.52847152847153e-08,3.00304909520768e-08,0.0379320056326695,2.25368953496261,0.996889395841021
"8008",130300000,4.55053399692541e-08,1.92171910974674e-08,2.62881488717867e-08,0.028461928419345,1.44156934762085,0.740073085671686
"8009",272200000,3.20692228752682e-08,2.22630418809699e-08,9.80618099429834e-09,0.0460363472514269,2.24261482649161,0.993620882556075
"8010",1748800000,3.78366127599508e-08,2.18961573650503e-08,1.59404553949005e-08,0.0468199697428139,5.63731628809312,1.83695782628815
"8011",1.04e+08,3.17206443657544e-08,2.1625e-08,1.00956443657544e-08,0.0446464646464646,1.36619629958509,0.714046213943205
"8013",2.31e+08,4.07519966577025e-08,3.34285714285714e-08,7.32342522913107e-09,0.0415890191363591,2.53153114971947,1.07722502688531
"8015",44500000,3.27663798942958e-08,2.26516853932584e-08,1.01146945010374e-08,0.0518825,0.914636741007051,0.54644947491114
"8016",40800000,3.31149584038096e-08,1.97794117647059e-08,1.33355466391037e-08,0.0420065,0.818380258192975,0.507404538169023
"8017",15200000,2.85834377801304e-08,1.71052631578947e-08,1.14781746222356e-08,0.0649855,0.464520677688303,0.347846484287865
"8018",1.85e+08,4.23364444282197e-08,3.92864864864865e-08,3.04995794173322e-09,0.0267831361540004,2.45598571412783,1.05568611254671
"8021",38800000,3.98647059062129e-08,3.31185567010309e-08,6.74614920518193e-09,0.0401392367023941,1.03268992684155,0.592512538086198
"9001",441600000,3.130868794542e-08,1.98482789855072e-08,1.14604089599127e-08,0.0602365709712914,2.69708315871054,1.12369162083308
"9002",954900000,2.94073506207993e-08,1.76343072573044e-08,1.17730433634949e-08,0.0601411694032839,3.73832044091996,1.39691056266082
"9003",176100000,2.85200598693097e-08,1.6007950028393e-08,1.25121098409167e-08,0.071497299459892,1.52955787696968,0.769889141219557
"9004",1.79e+08,3.02629524168786e-08,1.78435754189944e-08,1.24193769978842e-08,0.073038,1.62811783173086,0.802616603366408
"9005",6.7e+07,3.39388712444785e-08,2.35970149253731e-08,1.03418563191054e-08,0.0330825,1.14547156271991,0.634902629271917
