"","id","name","AREA","BFI","GDF","QMED","RMED","SAAR","RGRAD","R2","years","no_groundwater_index"
"1497",92002,"Allt Coire nan Con at Polloch",8.05,0.19,0.581,13.54,59.85,7.47007608507695,0.0795900501233763,0.662970005390989,32,0
"1498",92003,"Strontian at Ariundle",25.17,0.18,2.062,NA,59.25,7.47150684931507,0.20083245237395,0.701363451889609,2,0
"1499",92004,"Aline at Craigendarroch",103.8,0.3,7.573,NA,48.6,6.67736625514403,0.689606366886284,0.652926777493938,2,0
"1500",93001,"Carron at New Kelso",137.8,0.26,10.723,181.095,71.7,7.5540648694187,1.52853077426164,0.717366240604658,39,0
"1501",93002,"Ling at Killilan",132.83,0.19,9.537,NA,51,6.64035567715458,1.54423809225969,0.872762706023242,2,0
"1502",94001,"Ewe at Poolewe",441.1,0.64,29.72,116.217,62.1,6.55909960020859,1.60538740855845,0.600986447402726,48,0
"1503",94003,"Kerry at Faich Bhiorach",42.33,0.61,2.444,NA,57.45,6.06972602739726,0.314574750441056,0.654868930905629,2,0
"1504",95001,"Inver at Little Assynt",137.5,0.66,8.335,38.853,54.4,6.08984623721466,0.555441857226648,0.566429526903563,41,0
"1505",95002,"Broom at Inverbroom",141.4,0.24,7.246,NA,56.6,5.93112588284171,1.36439426067624,0.702403316725803,33,0
"1506",95003,"Langwell at Langwell Lodge",30.9,0.23,1.66,NA,51.6,5.23794520547945,0.35754725032701,0.747373746746087,2,0
"1507",95004,"Abhainn a'Chnocain at Elphin",10.58,0.23,0.548,10.921,59,5.94972602739726,0.102331275305737,0.877306580563897,2,0
"1508",95005,"Laxford at Laxford Bridge",112.97,0.45,7.337,NA,59.95,6.57722908093278,0.615542213686299,0.711595939827838,2,0
"1509",95006,"Rhidorroch at Rhidorroch",77.38,0.28,3.857,NA,46.3,5.28164383561644,0.947684182258904,0.694764396856437,2,0
"1510",96001,"Halladale at Halladale",204.6,0.27,5.012,105.526,36.95,3.14994132985658,1.44509216436844,0.56070613478861,42,0
"1511",96002,"Naver at Apigill",477,0.42,15.854,135.932,37.8,3.92452919338508,3.19422975019046,0.625111339630297,41,0
"1512",96003,"Strathy at Strathy Bridge",111.8,0.31,2.65,50.021,33.5,3.05242710192978,0.854225574512605,0.596955765629713,33,0
"1513",96004,"Strathmore at Allnabad",105,0.2,7.298,198.528,71.1,7.19490353112486,1.13105264128226,0.724322438531363,31,0
"1514",96005,"Dionard at Dionard",73.1,0.26,5.304,NA,54.9,7.35684931506849,0.753278604972016,0.502297008127597,2,0
"1515",96006,"Borgie at Borgie Bridge",138.75,0.67,4.116,NA,34.9,3.62263374485597,0.293513761909455,0.287595598609366,2,0
"1516",97002,"Thurso at Halkirk",412.8,0.46,9.041,104.956,33.85,3.01162956790858,2.22131665406124,0.501496324340177,46,0
"1517",101001,"Eastern Yar at Alverstone Mill",57.5,0.6,0.493,NA,32.3,2.26739096814105,0.0785293016631502,0.299008290633134,17,0.112989801093577
"1518",101002,"Medina at Shide",29.8,0.66,0.319,NA,32.8,2.32439088289232,0.051728750605705,0.267704894389897,53,0.163394968663425
"1519",101003,"Lukely Brook at Carisbrooke Mill",16.2,0.85,0.12,NA,35.55,2.39958210245695,0.00441279021692199,0.0521071902975077,36,0.0252028684654249
"1520",101004,"Eastern Yar at Burnt House",59.6,0.42,0.781,NA,33,2.28336964980545,0.149442544647864,0.292217091410663,36,0.111990889143091
"1521",101005,"Eastern Yar at Budbridge",22.5,0.58,0.223,NA,32.45,2.2529014948256,0.0481086324495732,0.264506681860156,36,0.150345143837967
"1522",101006,"Wroxall Stream at Waightshale",15.8,0.46,0.137,NA,33.6,2.26539509536785,0.0361026562139734,0.211741544948718,13,0.110401764466538
"1523",101007,"Scotchells Brook at Burnt House",9.2,0.28,0.174,NA,32.15,2.30361719718892,0.0692688951043962,0.241565681951971,14,0.0458005618766455
"1524",102001,"Cefni at Bodffordd",21.7,0.44,0.415,NA,39.05,3.015964024733,0.122403239668338,0.342748042391919,30,0
"1525",105001,"Snizort at Skeabost",80.55,0.24,4.523,66.029,53.3,6.41224821312541,0.613970808407289,0.600895315820182,17,0
"1526",106001,"Creed at Creed Bridge",43.4,0.46,1.676,NA,33.75,4.22030025389116,0.239504184963887,0.4557369619474,22,0
"1527",106002,"Laxdale at Laxdale",10.64,0.18,0.693,17.448,65.5,6.36684931506849,0.101638582972346,0.745426954072586,2,0
"1528",106003,"Abhainn Roag at Mill Croft",13.81,0.23,0.657,15.91,81.3,5.12373113854595,0.112156930802839,0.834491832829305,2,0
"1529",107001,"Durkadale at Durkadale",19.03,0.39,0.492,NA,28.8,3.01394345238095,0.102029846329627,0.62778317848386,19,0
"1530",108001,"Weisdale Burn at Weisdale Mill",12.6,0.25,0.616,NA,31.9,3.63967877349881,0.337521001277774,0.386358976451328,15,0
"1531",201002,"Fairywater at Dudgeon Bridge",158.4,0.3,5.34,66.094,35.3,3.5802571109179,1.45822898529763,0.531599486437256,45,0
"1532",201005,"Camowen at Camowen Terrace",276.6,0.46,6.793,89.235,30.75,3.09653918495298,1.74635815638412,0.492476896313164,44,0
"1533",201006,"Drumragh at Campsie Bridge",320,0.33,8.324,NA,33.25,3.2878743930891,2.29635587947244,0.481632393175595,44,0
"1534",201007,"Burn Dennet at Burndennet",148.3,0.5,3.975,80.899,29.8,3.20746970776907,0.991685768111069,0.497277883712438,39,0
"1535",201008,"Derg at Castlederg",335.4,0.31,14.623,190.814,39.9,4.79532506474036,2.51567470725648,0.567966792800827,41,0
"1536",201009,"Owenkillew at Crosh",440.1,0.42,16.185,274.908,34.9,3.8412788036014,3.50955112590125,0.522811074763471,36,0
"1537",201010,"Mourne at Drumnabuoy House",1843.8,0.39,59.326,602.655,34.05,3.70643160300359,12.4894549025109,0.546649024788997,34,0
"1538",202001,"Roe at Ardnargle",364.4,0.35,9.815,151.351,35.6,3.40198148573177,2.20706596014943,0.547818599512708,36,0.0348007198009633
"1539",202002,"Faughan at Drumahoe",273.1,0.47,7.911,150.028,34,3.44746729752296,1.80358022032896,0.520992917267466,40,0
"1540",203010,"Blackwater at Maydown Bridge",970.2,0.42,18.05,134.528,29.3,2.82365112781955,3.17903156789915,0.38415618933347,46,0
"1541",203011,"Main at Dromona",243.5,0.5,5.647,48.253,34.1,3.40246172320624,0.980630214642027,0.499172714967412,46,0
"1542",203012,"Ballinderry at Ballinderry Bridge",430.2,0.47,9.255,133.577,30.95,2.99101137115697,2.32702957802948,0.476910545800501,46,0.032418967553746
"1543",203017,"Upper Bann at Dynes Bridge",316.3,0.41,5.368,75.943,36.9,2.63456221198157,1.67086103979809,0.601919354068927,22,0
"1544",203018,"Six-Mile Water at Antrim",277.6,0.53,6.115,81.674,35,3.09368243039198,1.39026120978615,0.513064976446602,46,0
"1545",203019,"Claudy at Glenone Bridge",126.3,0.44,3.214,33.956,33.8,3.14205666185062,0.64708813256257,0.459855122477758,44,0
