"id","length","NULL","Principal","SecondaryA","SecondaryU","Unproductive","SecondaryB"
"4010",0,NA,NA,NA,NA,NA,NA
"4004",6194.06148666978,3220.96600456132,0,0,0,0,0
"4007",0,NA,NA,NA,NA,NA,NA
"2002",28538.7879133061,3405.92846428572,0,0,2.71942652435253,0,0
"5003",10506.0651361853,3660.55793083431,0,0,0,0,0
"8013",11927.5651531701,2300.40209636728,0,0,1460.52035999165,0,0
"6006",0,NA,NA,NA,NA,NA,NA
"7002",46265.0820320383,3321.61140939915,0,0,0,0,0
"7005",18529.1573642606,3311.58346049165,0,0,0,0,0
"13012",5264.17750526778,3528.06970879854,0,0,180.452420478851,0,0
"13009",11690.1856154268,3364.86461926927,0,862.978763867649,0,0,0
"9004",3262.34141805292,3487.60257075288,0,0,0,0,0
"13002",7042.38470882184,3726.65764589231,0,1854.42511741106,0,0,0
"11006",19579.3869539126,3524.71902425686,0,0,0,0,0
"15003",207929.223258546,3393.02973911893,0,0,101.367939020547,0,0
"17004",17307.7230194566,2689.67957143358,0,997.12787173785,364.116951261757,0,140.38656364258
"17005",17868.0064620992,1265.98556272085,0,2742.96631352858,0,0,0
"15025",56651.0029857357,3753.20730459679,0,0,12.0733789165393,0,0
"15027",0,NA,NA,NA,NA,NA,NA
"15038",7213.87065809598,3391.55226457671,0,0,517.4441697113,0,0
"21005",47029.7109243208,2881.00019316075,0,0,0,0,527.306916105744
"21001",3754.14179190631,3419.17360953441,0,0,0,0,0
"21024",15670.523506412,0,0,6.47384457879355,142.647044905909,0,3028.14345537245
"54027",21291.0229433661,0,601.058522652755,0,375.967513594833,0,2314.75037064974
"54028",59887.4659625451,0,0,194.568224146054,0,0,2482.63499724868
"67001",21400.1485206182,131.744881337859,0,26.8740873178354,0,0,2103.43829546953
"57005",42810.3751448279,0,66.8182527477869,2516.15031317912,0,0,78.9018587226541
"39003",28527.7138703493,0,375.106153460005,810.325638638985,201.504210838824,521.972358358372,201.162261067831
"39004",21613.650354559,0,386.462041316499,926.020364757848,235.306493306226,612.263873392324,122.366059914985
"40015",942.020300506632,0,87.4288670486044,32.5481583014387,45.1132609747243,110.831018489097,502.703585138883
"43028",9886.46761946148,125.501747036075,223.253173066007,50.2624402517224,272.337962796224,336.30805856271,1503.46976461421
"37034",8429.60840955848,0,164.574423802434,606.96366456612,0,110.450668829992,592.40742108131
"39146",0,NA,NA,NA,NA,NA,NA
"39042",5438.46337391015,0,355.846596847007,993.950618352172,342.139358053797,0,344.800162851132
"39111",963272.508223271,0,236.746419887088,532.12969707608,125.782628674653,95.3350351251072,1015.20135216577
"38001",104762.107602617,0,216.641000289339,293.183945699875,0,69.4998252051505,1048.73240984555
"47022",0,NA,NA,NA,NA,NA,NA
"38011",5807.77883350551,0,285.810557618053,294.777430299094,0,77.5100541664242,965.226415000471
"43022",15830.3231234001,157.182996564744,619.64234046122,713.959120176061,274.071984290144,140.381336057162,1077.04499366609
"43019",5279.40037672184,147.312611146507,22.8588893287388,659.826443754552,279.758155240221,59.8195203892999,558.041517972416
"39057",1256.23003319584,0,135.051401915872,559.889367703086,0,133.794129916983,161.045071852387
"28014",82207.8393672488,0,555.173517208266,913.533800676232,0,0,823.017556695492
"28022",918258.076529078,0.0397979567029324,245.015216336173,936.72159533836,18.5278078716541,0,1115.75802209339
"28023",27296.4830330014,0,0,1436.04521687531,0,0,966.253858390819
"28033",0,NA,NA,NA,NA,NA,NA
"39056",4617.14070203948,0,406.178714908182,1401.21667656478,278.394085463511,643.227166647541,162.563731714779
"40029",6605.91383238832,0,167.347654854456,233.367327154762,243.241241341296,305.166133974201,1745.98411455904
"28113",0,NA,NA,NA,NA,NA,NA
"30005",8257.98337663239,0,81.8895470763055,36.9120257914901,244.176955209418,0,1230.6717073774
"32010",177805.638340977,0,22.4679615174762,109.509147814607,204.4367473828,0,1794.76451559639
"45008",6828.40895810213,0,320.677448446367,208.991111499285,0,40.6225585332232,358.83391565661
"32008",0,NA,NA,NA,NA,NA,NA
"33068",0,NA,NA,NA,NA,NA,NA
"38032",139488.158669733,0,215.851465402343,266.475019807239,0,75.7604766828496,1081.6413927839
"39035",12158.8490769777,0,856.020477363559,0,415.527633118997,0,1570.06997926162
"39077",9325.3447570958,0,384.587206144841,30.8938570425145,245.815508687297,259.616309615813,1186.12799655568
"39088",5886.49027251262,0,235.234275016965,11.410739318263,0,94.3618239144372,1411.05749646396
"39038",45208.3030881842,0,46.8269923322588,128.583615010056,8.85231572322357,83.2608327634805,1387.64298788054
"39052",6932.09452445072,0,230.833665199223,580.493945804088,0,204.826259551512,566.052003311553
"54036",0,NA,NA,NA,NA,NA,NA
"40011",35896.072083504,0,153.833130471426,143.46730462891,85.7480900966963,228.551453166155,1816.89463145808
"40012",14890.5316688046,0,256.315186391396,1162.9234960804,271.966105945699,464.67110145165,102.023979440607
"38022",1277.44918894131,0,154.304217873109,16.6135952470173,0,127.012456740703,894.255635241403
"58009",8512.71593842018,0,128.96424662911,1450.54336038187,42.3745601684699,0,19.445115500163
"59002",6390.05632932946,0,0,1696.22990058481,0,0,111.517758893066
"53022",132856.538687006,22.0844622614365,188.737092072363,322.441774321712,204.178223785456,24.0168633037999,1367.42411441121
"38033",4818.84116518597,0,197.323913687747,261.847435121149,0,76.5007642863814,870.014943242054
"60004",8619.98398336588,0,0,0,0,0,2300.30724063408
"54057",902359.587264545,0,520.843010256271,381.103236602396,34.2506871643746,0,1709.70133636473
"84020",0,NA,NA,NA,NA,NA,NA
"75002",38799.3468940059,42.5406140695025,0,19.2941412638548,0,0,3941.3435433605
"49005",0,NA,NA,NA,NA,NA,NA
"96006",0,NA,NA,NA,NA,NA,NA
"50013",0,NA,NA,NA,NA,NA,NA
"76004",8612.47562055907,0,0,25.2854227836855,0,0,3161.54396865734
"76011",0,NA,NA,NA,NA,NA,NA
"48003",7377.30845628174,0,0,1459.24347797235,0,0,0
"81003",12211.3399736458,0,0,0,0,0,3364.01328031864
"81004",10646.6880756465,2969.66499401572,0,0,0,0,20.6120830144933
"91802",0,NA,NA,NA,NA,NA,NA
"101002",7428.97539559684,0,412.157920117277,357.466970836931,398.969646128967,971.23400466125,327.91162200659
"84009",4601.28437357568,0.581473889474038,0,0,0,0,1763.36337788184
"63003",0,NA,NA,NA,NA,NA,NA
"202001",23789.6647559614,2289.90401680449,92.6566947279845,0,0,0,0
"83002",9684.82305570258,24.5434149841388,0,2363.05944571525,331.861561039631,0,269.888168431067
"69004",17717.8881676233,0,284.277169192426,2132.78534078518,0,0,2392.54397041095
"52026",395.250913883392,4.46922074179031,216.336827866427,754.584975528938,30.3623008172866,0,51.5926617991058
"80002",35447.4456534648,1956.31444871294,0,0,0,0,1364.44962076391
"55004",3110.93347927148,0,0,0,0,0,1939.94205692686
"73016",3821.57186753899,0,0,179.948882204004,0,0,4239.46823823417
"89009",2297.03046859999,5020.61033056306,0,0,0,0,0
"54098",0,NA,NA,NA,NA,NA,NA
"31026",0,NA,NA,NA,NA,NA,NA
"203011",0,NA,NA,NA,NA,NA,NA
"203021",21641.6950286888,1308.53470564007,412.520979192416,0,146.764188049527,0,404.648485955764
"203022",20112.4412101844,2714.00542591767,0,0,0,0,0
"205003",27929.1072051632,1496.06738877206,183.469453157503,0,0.0160466152007081,0,624.212554550952
"82001",0,NA,NA,NA,NA,NA,NA
"203049",8813.56198626982,1282.42237648302,528.844518030381,0,116.697044932386,0,568.853938389424
"79007",15197.6174883778,552.871505687768,0,139.918768985855,0,0,2352.23764929487
"18011",82393.0681302267,4277.6706344556,0,0,0,0,0
"205011",21634.4569489692,2363.22816243083,0,0,0,0,0
"83009",12792.6554363644,69.3609169734976,0,2323.63944385763,251.239511112126,0,212.210000726959
"203043",0,NA,NA,NA,NA,NA,NA
"81006",17254.3663134694,114.565176972104,0,0,0,0,3175.59428057791
"80003",0,NA,NA,NA,NA,NA,NA
"42029",91313.9722715616,14.0313838244913,446.691282718359,913.932887835017,419.026764181142,544.03752170427,493.128475846539
"21021",283186.67424794,985.904931932475,0,14.0560941592546,50.1336180856276,0,2239.35722138029
"19017",2498.84292894082,786.017735581767,0,1984.39842974903,0,0,341.613552192241
"19021",29384.3092843889,1781.12262508595,0,1187.38408560137,98.5891078524893,0,1272.90756678257
"26007",0,NA,NA,NA,NA,NA,NA
"21032",23999.6885340606,0,0,0,0,0,3390.36806554467
"27008",100219.631332006,0,1464.15810325133,2081.12055039539,48.3969799943393,0,733.49601746309
"25009",66726.156724332,0,1110.79555060162,1595.67311493901,0,0,972.489753595368
"24006",5933.24693974066,0,0,381.604606574677,0,0,2972.13721462795
"26004",20217.3774295312,0,1509.49603747836,398.468074265512,252.37709518233,114.262144419933,342.862355615372
"27072",5751.30113648971,0,1663.75621128918,1559.73085210868,0,0,1540.78383442118
"27068",2322.13301743335,0,173.043743182618,1585.23244736471,0,0,1859.36573479357
"27056",12279.8848098576,0,820.878322318327,4134.71437046017,379.751700644862,0,341.261662812704
"27018",0,NA,NA,NA,NA,NA,NA
"27031",7912.34690940393,0,241.933096337473,1384.99184018164,0,0,3552.69341231921
"27038",0,NA,NA,NA,NA,NA,NA
"27003",160282.130372403,0,833.518490080182,2142.12237396451,0,0,1776.1446031442
"28079",12930.5071798493,0,1208.93395088524,1658.71953389509,0,0,115.591927958173
"28080",75052.3970987435,0,420.552714827733,408.75166906387,0,0,872.927643137418
"28046",1367.55669919352,0,0,954.460380454786,0,0,618.887364548428
"28059",0,NA,NA,NA,NA,NA,NA
"28001",14164.384342755,0,1715.77247105689,1857.79257440275,0,0,606.451851339082
"28004",75052.3970987435,0,420.552714827733,408.75166906387,0,0,872.927643137418
"28008",28789.8253298517,1.26936494935694,136.521812237289,858.930102729191,0,0,1117.18205807348
"28010",85952.9415111036,0,282.756468714938,1563.0896959715,0,0,915.470175281859
"39134",0,NA,NA,NA,NA,NA,NA
"42006",1254.31291653681,0,681.331298403865,128.89168624337,207.568950100657,437.122013532956,170.191379293828
"41034",9728.16171796279,0,500.587724696649,190.238560826765,681.063359651863,685.385968230138,236.604818508303
"54115",11569.7548308424,0,1364.64616316299,0,135.61612672341,0,1845.25232527903
"41021",4283.43424655105,0,156.651269275708,906.000394106142,202.706332758967,764.7896303304,280.627118145455
"39009",804307.747669147,0,237.477639568707,586.332974005352,150.642522797368,96.406064179817,985.418895730583
"39010",83273.89711297,0,226.001682302341,239.701795753497,0,77.7290437467292,1240.40845145756
"39011",37280.6044296678,0,358.747712527617,524.799025322039,573.807404388398,1012.5808043025,298.011563823069
"39097",86851.6069553785,0,535.020888726779,117.24847277033,422.618699022195,0,1684.6612158105
"34001",27333.4675518037,0,359.697129135621,9.19820612752686,36.7676767250785,22.5563628392318,1352.95467563784
"71014",10613.6243480604,0,56.1973530321442,2255.60675483928,0,0,174.680018797167
"74005",13571.3244438342,0,47.2836887736729,133.605706286884,0,0,3005.3533045305
"40021",0,NA,NA,NA,NA,NA,NA
"33045",5409.16029734655,0,436.13121630555,70.0571887741886,3.11181021331752,15.2867281756278,190.851869901976
"45001",65123.0178098548,0,3.72095316403369,1753.32766927996,0,0,88.7003028793349
"39016",123111.541527756,0,364.362174043051,432.416511513151,191.908750630771,212.983754347644,1060.89374775278
"37010",17640.0060820364,0,219.721700365306,124.660972484693,0,52.9983795961799,1006.42960628857
"39032",18464.6613781074,0,331.692744483986,604.781556088559,167.993196389873,129.608457116206,768.805046474817
"37026",2718.02785832731,0,181.417530396001,15.4902262510139,0,53.2549465225676,372.461120998535
"33013",24870.980322125,0,224.640006974831,1.52792861543409,0,24.5471982528047,1294.38225120829
"37016",6396.81874154547,0,196.626256114128,162.170699848895,0,32.9251025951898,851.769159337974
"39114",7265.725028627,0,241.782009691817,1293.13387206965,39.8661385710876,126.514528072049,263.188395759212
"54023",11585.1764637917,0,1065.4883407575,159.559650473941,188.951637863691,0,1451.41461060827
"67023",0,NA,NA,NA,NA,NA,NA
"41026",4421.79233385716,0,326.333728003526,924.398895636834,475.429103622453,703.01838122187,149.157213494679
"84025",6509.36438296581,1033.14626192973,0,2491.86555589784,0,0,0
"53024",0,NA,NA,NA,NA,NA,NA
"101005",9158.45071471748,0,524.239320759612,521.252811457713,381.335477064263,1014.23528865315,351.567043807316
"54061",1452.86609853908,0,880.399378228717,156.44892366526,0,0,4230.47838166419
"53006",17282.9303469111,0,17.8823288723867,892.033120081648,23.2417498220049,0,1134.1258024802
"54089",262578.48099344,0,467.708773904285,613.488295796581,69.6612795286595,0,1478.59522988869
"57015",7306.88388807217,0,3.4448494488789,1991.59499909299,0,0,458.31788142754
"64004",14628.8679445735,0,0,469.520993878192,0,0,2965.38017611432
"56019",16205.5911535154,0,75.4885361397949,2460.21405784043,0,0,0
"72005",0,NA,NA,NA,NA,NA,NA
"201007",17709.8606416055,2272.93484198068,0,0,0,0,0
"69015",28733.6005513957,0,175.292723351904,2230.30568147392,0,0,2308.82209310295
"54022",3710.68877349744,0,0,0,0,0,2452.60181699817
"55005",14915.6813602278,0,0,561.256272091548,0,0,1578.30189708536
"73010",19867.8073044268,0,0,128.647367279378,0,0,3969.02500749467
"76022",25361.6266672486,211.683059360486,0.731785663725255,246.147461852609,0,0,2419.639564677
"55010",0,NA,NA,NA,NA,NA,NA
"56011",12885.5325240789,0,60.2290060519126,2209.1411721313,0,0,0
